Track ID,accousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
5x5TmxjilpvdOkdM2JgTeI,0.177,0.647,214987,0.549,0,1,0.0917,-6.499,1,0.0302,89.964,4,0.495,2
0ODX5aqq2yfXPhFuoqimWZ,0.0132,0.549,191133,0.891,0,0,0.11,-4.632,1,0.0383,163.969,4,0.809,2
0ZapiCpfSBvSC27L479qiG,0.0165,0.345,426987,0.724,0.0134,9,0.0943,-10.38,1,0.0756,145.081,4,0.0502,1
7EWJYLPS8sWKKpKx1Yht34,0.551,0.701,241161,0.433,0.00949,8,0.0596,-8.19,1,0.104,90.035,4,0.422,2
295SxdR1DqunCNwd0U767w,0.23,0.798,254218,0.564,1.83E-05,2,0.183,-5.98,1,0.047,108.004,4,0.394,2
4fL0e2eLKRiigNlF1gvCo5,0.000228,0.452,254907,0.826,0.0217,8,0.0827,-3.968,1,0.031,115.046,4,0.354,2
2I6PkrlEUVDMVCGrt6bmFR,0.0108,0.713,270800,0.674,2.32E-05,0,0.15,-8.349,0,0.165,116.967,4,0.34,1
3KX8EDznyPViduMzpHrKtp,0.000368,0.373,212624,0.948,0.145,2,0.116,-3.196,1,0.24,174,4,0.0767,1
5ea1fDPdhzQfQkRn7uowj3,0.425,0.192,330720,0.267,0.0347,2,0.0883,-9.845,0,0.0337,176.435,4,0.212,1
4nIUi39bE0KlskpxD5fp2x,0.0142,0.527,227147,0.851,0.252,2,0.111,-5.128,1,0.0457,110.111,4,0.495,2
2x6WhnhzmKMbG1oO5fIW5G,0.139,0.844,191467,0.618,0.000309,5,0.148,-5.133,0,0.0685,91.017,4,0.604,2
7KmMhTk07elK9dxu49Owi2,9.70E-06,0.424,342280,0.989,0.576,11,0.105,-4.662,1,0.164,179.997,4,0.185,2
65JhSkJRYXNOwpI8rqT4RS,0.0522,0.569,254627,0.755,1.83E-05,11,0.0916,-6.339,0,0.0273,104.011,4,0.515,2
07lCR9uSVrL5G08R3zn0yi,0.00463,0.369,236747,0.872,0.884,2,0.0741,-5.681,0,0.037,163.017,4,0.348,2
0odBWJHRZntCidsR3D6q5Y,0.0344,0.576,205080,0.695,0,10,0.11,-4.826,1,0.16,109.902,4,0.355,2
2XLgLkVbqe99hRK6WT8BVa,0.145,0.763,90515,0.8,0.519,11,0.673,-8.438,0,0.385,127.056,4,0.704,2
3XZneAJCxSJaoID9dCVQrN,0.845,0.606,231107,0.242,0.285,10,0.0865,-13.712,0,0.0362,99.988,4,0.271,1
73mTfTGXIeGcVdcoM7ct02,0.067,0.478,195200,0.924,1.34E-05,7,0.466,-2.723,1,0.0317,149.751,4,0.382,2
3fztZLd3YttAMkFQHKEMLo,0.516,0.219,250053,0.478,0.00464,2,0.0958,-7.284,1,0.037,184.544,3,0.191,1
2AtLub72KQ9p4h97q0s757,0.000995,0.64,257044,0.884,3.72E-05,7,0.0729,-4.559,1,0.0524,119.986,4,0.535,1
5EJSJDmeinfAtIpyIR89EV,0.000245,0.628,215055,0.919,0,0,0.105,-3.338,1,0.0676,124.974,4,0.767,1
6GwDPsB9FBmjPF8zPuempi,0.0478,0.314,315400,0.652,0.015,0,0.789,-11.734,1,0.048,170.099,4,0.518,2
1aWqKElqteGfME3q8JMeIz,0.0492,0.624,227861,0.616,0.00127,1,0.434,-6.818,0,0.0535,97.006,4,0.297,2
3zbYsEDFISyrjdENY7G2tR,0.243,0.798,208587,0.584,0,1,0.042,-7.722,0,0.266,110.978,4,0.792,2
34UJWizXWSdPFDFziIZ35F,0.4,0.758,164000,0.519,0.00166,0,0.113,-9.064,0,0.0492,150.005,4,0.243,1
1zdmeAd3wE2VlrrxpAAEgr,0.0779,0.554,130720,0.818,0.0106,2,0.341,-6.864,1,0.0362,142.339,4,0.512,2
0KHetNcfDpYXDpGl5JfaEv,0.346,0.762,218680,0.411,0.381,6,0.0488,-11.878,1,0.0376,106.975,4,0.53,2
