Anderson .Paak,Ventura
Andy Black,The Ghost of Ohio
BTS,Map of the Soul: Persona
The Chemical Brothers,No Geography
Dan Sultan,Nali & Friends
Emma Bunton,My Happy Place
Glen Hansard,This Wild Willing
John Paul White,The Hurting Kind
LSD,"Labrinth, Sia & Diplo Present... LSD"
Melissa Etheridge,The Medicine Show
Norah Jones,Begin Again
Sara Storer,Raindance
The Flaming Lips,King's Mouth
Beyoncé,Homecoming: The Live Album
Cage the Elephant,Social Cues
Jade Bird,Jade Bird
Lizzo,Cuz I Love You
The Rolling Stones,Honk
Seth MacFarlane,Once in a While
Simi,"Omo Charlie Champagne, Vol. 1"
Tech N9ne,N9NA
Twice,Fancy You
Kevin Abstract,Arizona Baby
Alan Parsons,The Secret
AJR,Neotheater
Amon Tobin,Fear in a Handful of Dust
Blackbear,Anonymous
Catfish and the Bottlemen,The Balance
The Cranberries,In the End
The Damned Things,High Crimes
Foxygen,Seeing Other People
James TW,Chapters
Kevin Morby,Oh My God
King Gizzard & the Lizard Wizard,Fishing for Fishies
Marina,Love + Fear
The Mountain Goats,In League with Dragons
New Years Day,Unbreakable
Nick Murphy,Run Fast Sleep Naked
Olivia O'Brien,Was It Even Real?
Pink,Hurts 2B Human
Rob Thomas,Chip Tooth Smile
Schoolboy Q,Crash Talk
Various artists,For the Throne: Music Inspired by the HBO Series Game of Thrones
Various artists,UglyDolls: Original Motion Picture Soundtrack
Nikolija,Yin & Yang
Diplo,Higher Ground
Passenger,"Sometimes It's Something, Sometimes It's Nothing at All"
Amon Amarth,Berserker
Ashley Tisdale,Symptoms
Bad Religion,Age of Unreason
Big Thief,U.F.O.F.
Frank Carter & The Rattlesnakes,End of Suffering
Kate Ceberano and Paul Grabowsky,Tryst
Judah & the Lion,Pep Talks
Oh Land,Family Tree
Ruby Fields,Permanent Hermit
Vampire Weekend,Father of the Bride
Various artists,"Pacific Breeze: Japanese City Pop, AOR and Boogie 1976–1986"
Aly & AJ,Sanctuary
Charly Bliss,Young Enough
Ciara,Beauty Marks
Holly Herndon,Proto
James Bay,Oh My Messy Mind
Jamila Woods,Legacy! Legacy!
Kian,Bliss
Logic,Confessions of a Dangerous Mind
Mac DeMarco,Here Comes the Cowboy
The Rubens,MTV Unplugged
